C.brenneri WBID,C.brenneri assignment (CN),C.briggsae WBID,C.briggsae assignment (CN),C.remanei WBID,C.remanei assignment (CN)
WBGene00141201,X,WBGene00035679,X,WBGene00065538,X
WBGene00141212,X,WBGene00035081,X,WBGene00051701,X
WBGene00141213,X,WBGene00036183,X,WBGene00077334,X
WBGene00141218,X,WBGene00027619,X,WBGene00051497,X
WBGene00141221,X,WBGene00036258,X,WBGene00077246,X
WBGene00141225,A,WBGene00087532,A,WBGene00068823,A
WBGene00141229,A,WBGene00038960,A,WBGene00060851,A
WBGene00141245,X,WBGene00029587,X,WBGene00058560,X
WBGene00141247,X,WBGene00036600,X,WBGene00051296,X
WBGene00141249,A,WBGene00041499,A,WBGene00072382,A
WBGene00141250,A,WBGene00033102,A,WBGene00062381,A
WBGene00141267,A,WBGene00035572,A,WBGene00064897,A
WBGene00141271,A,WBGene00032585,A,WBGene00052888,A
WBGene00141277,A,WBGene00030688,A,WBGene00055512,A
WBGene00141278,X,WBGene00034905,X,WBGene00051858,X
WBGene00141282,X,WBGene00035128,X,WBGene00077855,X
WBGene00141291,A,WBGene00031496,A,WBGene00055037,A
WBGene00141299,X,WBGene00036051,X,WBGene00070103,X
WBGene00141314,X,WBGene00029635,X,WBGene00058575,X
WBGene00141324,X,WBGene00035214,X,WBGene00051577,X
WBGene00141332,A,WBGene00025727,A,WBGene00053705,A
WBGene00141347,X,WBGene00089209,X,WBGene00051343,X
WBGene00141357,A,WBGene00041370,A,WBGene00064450,A
WBGene00141384,A,WBGene00038903,A,WBGene00060885,A
WBGene00141385,A,WBGene00042321,A,WBGene00066449,A
WBGene00141388,X,WBGene00041245,X,WBGene00065492,X
WBGene00141395,X,WBGene00032131,X,WBGene00051449,X
WBGene00141401,X,WBGene00029618,X,WBGene00058599,X
WBGene00141404,A,WBGene00040131,A,WBGene00068833,A
WBGene00141411,A,WBGene00041614,A,WBGene00064769,A
WBGene00141420,X,WBGene00035030,X,WBGene00051755,X
WBGene00141421,A,WBGene00039518,A,WBGene00057952,A
WBGene00141422,X,WBGene00089104,X,WBGene00077824,X
WBGene00141426,A,WBGene00028884,A,WBGene00062085,A
WBGene00141434,A,WBGene00041680,A,WBGene00052323,A
WBGene00141437,A,WBGene00038585,A,WBGene00062858,A
WBGene00141444,X,WBGene00025090,X,WBGene00063163,X
WBGene00141456,A,WBGene00031366,A,WBGene00054880,A
WBGene00141458,A,WBGene00036414,A,WBGene00069373,A
WBGene00141473,A,WBGene00031057,A,WBGene00059016,A
WBGene00141486,A,WBGene00031924,A,WBGene00086540,ambiguous
WBGene00141487,A,WBGene00036429,A,WBGene00069389,A
WBGene00141490,A,WBGene00034226,A,WBGene00065105,A
WBGene00141494,A,WBGene00037741,A,WBGene00055836,A
WBGene00141499,A,WBGene00034517,A,WBGene00067499,A
WBGene00141511,A,WBGene00029152,A,WBGene00073458,A
WBGene00141515,A,WBGene00041460,A,WBGene00061862,A
WBGene00141518,X,WBGene00027566,X,WBGene00051549,X
WBGene00141526,A,WBGene00034510,A,WBGene00068558,A
WBGene00141531,A,WBGene00037704,A,WBGene00055876,A
WBGene00141545,A,WBGene00041639,A,WBGene00052370,A
WBGene00141570,A,WBGene00027815,A,WBGene00073260,ambiguous
WBGene00141571,X,WBGene00023620,X,WBGene00084929,X
WBGene00141574,A,WBGene00042663,A,WBGene00057916,A
WBGene00141584,X,WBGene00036357,X,WBGene00063270,X
WBGene00141586,A,WBGene00035887,A,WBGene00055306,A
WBGene00141588,A,WBGene00040054,A,WBGene00061933,A
WBGene00141591,A,WBGene00034611,A,WBGene00072640,A
WBGene00141598,A,WBGene00042815,no.read,WBGene00054760,A
WBGene00141602,A,WBGene00032559,A,WBGene00052912,A
WBGene00141604,A,WBGene00031086,A,WBGene00059051,A
WBGene00141605,A,WBGene00035561,A,WBGene00064849,A
WBGene00141609,A,WBGene00038367,A,WBGene00071811,ambiguous
WBGene00141617,A,WBGene00032691,A,WBGene00070414,A
WBGene00141621,A,WBGene00033956,A,WBGene00054332,A
WBGene00141624,A,WBGene00038253,A,WBGene00052171,A
WBGene00141627,A,WBGene00037757,A,WBGene00055821,A
WBGene00141636,A,WBGene00023808,A,WBGene00069541,A
WBGene00141637,X,WBGene00036572,X,WBGene00051324,X
WBGene00141646,X,WBGene00032143,X,WBGene00051438,X
WBGene00141648,A,WBGene00026618,A,WBGene00057251,A
WBGene00141650,X,WBGene00027756,X,WBGene00058755,X
WBGene00141653,A,WBGene00035459,A,WBGene00061996,A
WBGene00141664,A,WBGene00029228,A,WBGene00066845,A
WBGene00141672,X,WBGene00037151,X,WBGene00058391,X
WBGene00141677,X,WBGene00025223,X,WBGene00058165,X
WBGene00141684,X,WBGene00034805,X,WBGene00051952,X
WBGene00141688,A,WBGene00026717,A,WBGene00071762,A
WBGene00141694,A,WBGene00028002,A,WBGene00063522,A
WBGene00141700,X,WBGene00035013,X,WBGene00051773,X
WBGene00141702,A,WBGene00036557,A,WBGene00073205,ambiguous
WBGene00141704,A,WBGene00026330,A,WBGene00062657,A
WBGene00141705,A,WBGene00041996,A,WBGene00080553,A
WBGene00141724,A,WBGene00042144,A,WBGene00070778,A
WBGene00141727,A,WBGene00041722,A,WBGene00052405,A
WBGene00141730,A,WBGene00026959,A,WBGene00062197,A
WBGene00141731,A,WBGene00035497,A,WBGene00064888,A
WBGene00141734,A,WBGene00042425,ambiguous,WBGene00064204,A
WBGene00141736,X,WBGene00036046,X,WBGene00070108,X
WBGene00141761,A,WBGene00041087,A,WBGene00070728,A
WBGene00141771,X,WBGene00035085,X,WBGene00051697,X
WBGene00141777,A,WBGene00033167,A,WBGene00062389,A
WBGene00141782,A,WBGene00041093,A,WBGene00068361,A
WBGene00141788,A,WBGene00042138,A,WBGene00056518,A
WBGene00141789,X,WBGene00035015,X,WBGene00051771,X
WBGene00141792,A,WBGene00033200,A,WBGene00062431,A
WBGene00141796,X,WBGene00029954,X,WBGene00060209,X
WBGene00141803,A,WBGene00030772,A,WBGene00055469,A
WBGene00141806,X,WBGene00034695,X,WBGene00052089,X
WBGene00141813,A,WBGene00034207,A,WBGene00065099,A
WBGene00141821,X,WBGene00032108,X,WBGene00051478,X
WBGene00141823,A,WBGene00026212,A,WBGene00071911,A
WBGene00141831,A,WBGene00037559,A,WBGene00061779,A
WBGene00141835,A,WBGene00030194,A,WBGene00071281,A
WBGene00141839,A,WBGene00088466,A,WBGene00052359,A
WBGene00141844,A,WBGene00040224,A,WBGene00067021,A
WBGene00141849,X,WBGene00037010,X,WBGene00058304,X
WBGene00141852,A,WBGene00034076,A,WBGene00063022,A
WBGene00141853,A,WBGene00026054,A,WBGene00053345,A
WBGene00141855,X,WBGene00036093,X,WBGene00059790,X
WBGene00141865,A,WBGene00031003,A,WBGene00058956,A
WBGene00141868,A,WBGene00038232,A,WBGene00052155,A
WBGene00141874,X,WBGene00037013,X,WBGene00079596,X
WBGene00141880,A,WBGene00042367,A,WBGene00064873,A
WBGene00141894,X,WBGene00036707,X,WBGene00051200,X
WBGene00141899,A,WBGene00027976,A,WBGene00063578,A
WBGene00141900,A,WBGene00033625,A,WBGene00056157,A
WBGene00141907,A,WBGene00040016,A,WBGene00069186,A
WBGene00141914,A,WBGene00024302,A,WBGene00067199,A
WBGene00141917,A,WBGene00035527,A,WBGene00064866,A
WBGene00141929,A,WBGene00031511,A,WBGene00055051,A
WBGene00141934,A,WBGene00039325,A,WBGene00066393,A
WBGene00141942,A,WBGene00038070,A,WBGene00055975,A
WBGene00141956,X,WBGene00036893,X,WBGene00063115,X
WBGene00141977,A,WBGene00039546,A,WBGene00057933,A
WBGene00141980,X,WBGene00036900,X,WBGene00063112,X
WBGene00141981,A,WBGene00035476,A,WBGene00071289,A
WBGene00141983,X,WBGene00029498,X,WBGene00065254,X
WBGene00141992,A,WBGene00030158,A,WBGene00054714,A
WBGene00142008,A,WBGene00030872,A,WBGene00058822,A
WBGene00142011,A,WBGene00038183,A,WBGene00056008,A
WBGene00142022,A,WBGene00025978,A,WBGene00053435,A
WBGene00142026,A,WBGene00034347,A,WBGene00056381,A
WBGene00142028,X,WBGene00036639,X,WBGene00051250,X
WBGene00142030,A,WBGene00033324,A,WBGene00060004,A
WBGene00142043,X,WBGene00035097,X,WBGene00051686,X
WBGene00142045,A,WBGene00031282,A,WBGene00054825,A
WBGene00142057,A,WBGene00032307,A,WBGene00054158,A
WBGene00142059,A,WBGene00041084,A,WBGene00070732,A
WBGene00142063,A,WBGene00023816,A,WBGene00069563,A
WBGene00142072,A,WBGene00040053,A,WBGene00061932,A
WBGene00142080,A,WBGene00029815,A,WBGene00067696,A
WBGene00142085,A,WBGene00024278,A,WBGene00071085,A
WBGene00142087,A,WBGene00033444,A,WBGene00060097,A
WBGene00142091,A,WBGene00035281,A,WBGene00060373,A
WBGene00142094,A,WBGene00024209,A,WBGene00070579,A
WBGene00142097,A,WBGene00031154,A,WBGene00065088,A
WBGene00142100,A,WBGene00037755,A,WBGene00055824,A
WBGene00142112,A,WBGene00024328,A,WBGene00067229,A
WBGene00142120,A,WBGene00036443,A,WBGene00054648,A
WBGene00142123,A,WBGene00038818,A,WBGene00054564,A
WBGene00142127,A,WBGene00023769,A,WBGene00061389,A
WBGene00142131,A,WBGene00030851,A,WBGene00054800,A
WBGene00142133,X,WBGene00034971,X,WBGene00077860,X
WBGene00142153,A,WBGene00037696,A,WBGene00055887,A
WBGene00142155,A,WBGene00035481,A,WBGene00065405,A
WBGene00142168,A,WBGene00030810,A,WBGene00085740,A
WBGene00142179,A,WBGene00042489,no.read,WBGene00056523,A
WBGene00142183,A,WBGene00033930,A,WBGene00054300,A
WBGene00142184,A,WBGene00039270,A,WBGene00069286,A
WBGene00142194,ambiguous,WBGene00033806,A,WBGene00057690,A
WBGene00142205,A,WBGene00033308,A,WBGene00060024,A
WBGene00142209,X,WBGene00037023,X,WBGene00058316,X
WBGene00142211,X,WBGene00036950,X,WBGene00058240,X
WBGene00142215,A,WBGene00036434,A,WBGene00069382,A
WBGene00142217,A,WBGene00035507,A,WBGene00071191,A
WBGene00142219,X,WBGene00037033,X,WBGene00058323,X
WBGene00142220,X,WBGene00035695,X,WBGene00065546,X
WBGene00142232,X,WBGene00029484,X,WBGene00065266,X
WBGene00142241,A,WBGene00037071,A,WBGene00055438,A
WBGene00142243,X,WBGene00035207,X,WBGene00051585,X
WBGene00142245,A,WBGene00032618,A,WBGene00052854,A
WBGene00142249,A,WBGene00039896,A,WBGene00054424,A
WBGene00142250,A,WBGene00030971,A,WBGene00058924,A
WBGene00142254,A,WBGene00027998,A,WBGene00063528,A
WBGene00142266,A,WBGene00038513,A,WBGene00064926,A
WBGene00142268,A,WBGene00038495,A,WBGene00064946,A
WBGene00142270,A,WBGene00036399,A,WBGene00061638,A
WBGene00142284,X,WBGene00037000,X,WBGene00058295,X
WBGene00142291,A,WBGene00041674,A,WBGene00052329,A
WBGene00142296,A,WBGene00037532,A,WBGene00061750,A
WBGene00142299,A,WBGene00026806,A,WBGene00060596,A
WBGene00142317,A,WBGene00039260,A,WBGene00062273,A
WBGene00142318,A,WBGene00027127,A,WBGene00063586,A
WBGene00142326,A,WBGene00031603,A,WBGene00055130,A
WBGene00142329,A,WBGene00031548,A,WBGene00055085,A
WBGene00142334,X,WBGene00036892,X,WBGene00063117,X
WBGene00142338,A,WBGene00036471,A,WBGene00054678,A
WBGene00142342,X,WBGene00036259,X,WBGene00081869,X
WBGene00142343,A,WBGene00036646,A,WBGene00068881,A
WBGene00142344,A,WBGene00031608,A,WBGene00055134,A
WBGene00142351,A,WBGene00028882,A,WBGene00062087,A
WBGene00142355,A,WBGene00037494,A,WBGene00061713,A
WBGene00142369,X,WBGene00027625,X,WBGene00051487,X
WBGene00142385,A,WBGene00032381,A,WBGene00054153,A
WBGene00142387,A,WBGene00029269,A,WBGene00064625,A
WBGene00142390,A,WBGene00040134,A,WBGene00068830,A
WBGene00142400,X,WBGene00036935,X,WBGene00058466,X
WBGene00142403,A,WBGene00037645,A,WBGene00062987,A
WBGene00142404,A,WBGene00039540,A,WBGene00057926,A
WBGene00142405,X,WBGene00036351,X,WBGene00063264,X
WBGene00142418,A,WBGene00032829,A,WBGene00071489,A
WBGene00142421,A,WBGene00031568,A,WBGene00055102,A
WBGene00142423,A,WBGene00030157,A,WBGene00054715,A
WBGene00142425,A,WBGene00032681,A,WBGene00070405,A
WBGene00142430,A,WBGene00026989,A,WBGene00069842,A
WBGene00142449,A,WBGene00024105,A,WBGene00053192,A
WBGene00142452,X,WBGene00034859,X,WBGene00051903,X
WBGene00142454,A,WBGene00039149,A,WBGene00064062,A
WBGene00142460,A,WBGene00026943,A,WBGene00057134,A
WBGene00142461,X,WBGene00034717,X,WBGene00052061,X
WBGene00142468,X,WBGene00023642,X,WBGene00051086,X
WBGene00142472,A,WBGene00036440,A,WBGene00054644,A
WBGene00142473,A,WBGene00029268,A,WBGene00064626,A
WBGene00142480,X,WBGene00035776,X,WBGene00051036,X
WBGene00142481,A,WBGene00025887,A,WBGene00053544,A
WBGene00142482,A,WBGene00024565,A,WBGene00053057,A
WBGene00142485,A,WBGene00030493,A,WBGene00060860,A
WBGene00142486,A,WBGene00034268,A,WBGene00064549,A
WBGene00142488,X,WBGene00035077,X,WBGene00051706,X
WBGene00142489,A,WBGene00031313,A,WBGene00054857,A
WBGene00142494,A,WBGene00033146,A,WBGene00058090,A
WBGene00142497,A,WBGene00030877,A,WBGene00058827,A
WBGene00142505,A,WBGene00024090,A,WBGene00053793,A
WBGene00142507,A,WBGene00040209,A,WBGene00066890,A
WBGene00142508,X,WBGene00027615,X,WBGene00051502,X
WBGene00142510,X,WBGene00034727,X,WBGene00052050,X
WBGene00142522,A,WBGene00031546,A,WBGene00055083,A
WBGene00142523,A,WBGene00031409,A,WBGene00054959,A
WBGene00142536,A,WBGene00040716,A,WBGene00060552,A
WBGene00142537,X,WBGene00036665,X,WBGene00051245,X
WBGene00142554,A,WBGene00028007,A,WBGene00069589,A
WBGene00142556,X,WBGene00036230,X,WBGene00063272,X
WBGene00142558,A,WBGene00027692,A,WBGene00055689,A
WBGene00142559,X,WBGene00025125,X,WBGene00063141,X
WBGene00142575,X,WBGene00034875,X,WBGene00051885,X
WBGene00142577,X,WBGene00025136,X,WBGene00063130,X
WBGene00142582,X,WBGene00036298,X,WBGene00077270,X
WBGene00142596,A,WBGene00035941,A,WBGene00067371,A
WBGene00142597,A,WBGene00029177,A,WBGene00075284,A
WBGene00142598,A,WBGene00036539,A,WBGene00054767,A
WBGene00142599,A,WBGene00042687,A,WBGene00055723,A
WBGene00142600,X,WBGene00032145,X,WBGene00051436,X
WBGene00142608,A,WBGene00039806,A,WBGene00084800,A
WBGene00142610,A,WBGene00035437,A,WBGene00060441,A
WBGene00142611,A,WBGene00025611,A,WBGene00054017,A
WBGene00142613,A,WBGene00030733,A,WBGene00055569,A
WBGene00142615,A,WBGene00032785,A,WBGene00067905,A
WBGene00142616,A,WBGene00035273,A,WBGene00060365,A
WBGene00142632,A,WBGene00024010,A,WBGene00053859,A
WBGene00142653,A,WBGene00028370,A,WBGene00062544,A
WBGene00142654,A,WBGene00025415,A,WBGene00057413,A
WBGene00142660,X,WBGene00035056,X,WBGene00051726,X
WBGene00142662,A,WBGene00031338,A,WBGene00054915,A
WBGene00142665,A,WBGene00041651,A,WBGene00052358,A
WBGene00142670,A,WBGene00037606,A,WBGene00062959,A
WBGene00142683,A,WBGene00023761,A,WBGene00061378,A
WBGene00142687,A,WBGene00031233,A,WBGene00072040,A
WBGene00142693,A,WBGene00033796,A,WBGene00069803,A
WBGene00142697,A,WBGene00037574,A,WBGene00061794,A
WBGene00142700,A,WBGene00026815,A,WBGene00066599,A
WBGene00142704,X,WBGene00034991,X,WBGene00051792,X
WBGene00142705,A,WBGene00023939,A,WBGene00053925,A
WBGene00142707,A,WBGene00034335,A,WBGene00071274,A
WBGene00142711,X,WBGene00036214,X,WBGene00077295,X
WBGene00142719,A,WBGene00033228,A,WBGene00064069,A
WBGene00142742,A,WBGene00041457,A,WBGene00061864,A
WBGene00142743,X,WBGene00027752,X,WBGene00058759,X
WBGene00142747,A,WBGene00031576,A,WBGene00055109,A
WBGene00142756,A,WBGene00024855,A,WBGene00059514,A
WBGene00142757,A,WBGene00031566,A,WBGene00055099,A
WBGene00142760,A,WBGene00026078,A,WBGene00053315,A
WBGene00142763,X,WBGene00032169,X,WBGene00051409,X
WBGene00142764,A,WBGene00029120,A,WBGene00055168,A
WBGene00142768,X,WBGene00034989,X,WBGene00051794,X
WBGene00142772,X,WBGene00036570,X,WBGene00051328,X
WBGene00142775,X,WBGene00029690,X,WBGene00058674,X
WBGene00142776,A,WBGene00030227,A,WBGene00056366,A
WBGene00142777,A,WBGene00030422,A,WBGene00052705,A
WBGene00142778,A,WBGene00039601,A,WBGene00057538,A
WBGene00142780,A,WBGene00028097,A,WBGene00065957,A
WBGene00142784,A,WBGene00040067,A,WBGene00061927,A
WBGene00142789,A,WBGene00042135,A,WBGene00056521,A
WBGene00142791,A,WBGene00038895,A,WBGene00060907,A
WBGene00142797,A,WBGene00025894,A,WBGene00053537,A
WBGene00142798,X,WBGene00036170,X,WBGene00059744,X
WBGene00142805,X,WBGene00032126,X,WBGene00051454,X
WBGene00142816,A,WBGene00041638,A,WBGene00052371,A
WBGene00142824,X,WBGene00032165,X,WBGene00051415,X
WBGene00142832,A,WBGene00039393,A,WBGene00083478,A
WBGene00142842,A,WBGene00030276,A,WBGene00056328,A
WBGene00142845,A,WBGene00027342,A,WBGene00056974,A
WBGene00142847,A,WBGene00038224,A,WBGene00052145,A
WBGene00142852,X,WBGene00032148,X,WBGene00051433,X
WBGene00142859,X,WBGene00027620,X,WBGene00051496,X
WBGene00142866,X,WBGene00035195,X,WBGene00051657,X
WBGene00142867,A,WBGene00027121,A,WBGene00063553,A
WBGene00142878,A,WBGene00039981,A,WBGene00055404,A
WBGene00142885,A,WBGene00034252,A,WBGene00085838,A
WBGene00142892,X,WBGene00027801,X,WBGene00058718,X
WBGene00142896,A,WBGene00025427,A,WBGene00057404,A
WBGene00142897,A,WBGene00033790,A,WBGene00069811,A
WBGene00142908,A,WBGene00039537,A,WBGene00057924,A
WBGene00142917,A,WBGene00034300,A,WBGene00064560,A
WBGene00142921,X,WBGene00035124,X,WBGene00051649,X
WBGene00142922,A,WBGene00042060,A,WBGene00055719,A
WBGene00142929,A,WBGene00024032,A,WBGene00053849,A
WBGene00142940,A,WBGene00041809,A,WBGene00052498,A
WBGene00142967,A,WBGene00033576,A,WBGene00066722,A
WBGene00142972,X,WBGene00036133,X,WBGene00059773,X
WBGene00142978,A,WBGene00038205,A,WBGene00052121,A
WBGene00142979,X,WBGene00032177,X,WBGene00051402,X
WBGene00142980,A,WBGene00024775,A,WBGene00059425,A
WBGene00142984,A,WBGene00027308,A,WBGene00056939,A
WBGene00142985,A,WBGene00023812,A,WBGene00069545,A
WBGene00142990,X,WBGene00037053,X,WBGene00058343,X
WBGene00142991,A,WBGene00042611,no.read,WBGene00065239,A
WBGene00143000,A,WBGene00029114,A,WBGene00055174,A
WBGene00143006,X,WBGene00035698,X,WBGene00065548,X
WBGene00143011,A,WBGene00039834,A,WBGene00054510,A
WBGene00143018,A,WBGene00034562,A,WBGene00070859,A
WBGene00143019,X,WBGene00034880,X,WBGene00051881,X
WBGene00143023,A,WBGene00039188,A,WBGene00068661,A
WBGene00143029,A,WBGene00029056,A,WBGene00055229,A
WBGene00143030,A,WBGene00024103,A,WBGene00053188,A
WBGene00143036,A,WBGene00038761,A,WBGene00075742,A
WBGene00143037,A,WBGene00023848,A,WBGene00065347,A
WBGene00143042,short,WBGene00040684,A,WBGene00060584,A
WBGene00143046,A,WBGene00033795,A,WBGene00069804,A
WBGene00143056,A,WBGene00025878,A,WBGene00053553,A
WBGene00143057,A,WBGene00030532,A,WBGene00058011,A
WBGene00143058,X,WBGene00036264,X,WBGene00077255,X
WBGene00143063,X,WBGene00026875,X,WBGene00060161,X
WBGene00143064,A,WBGene00039552,A,WBGene00082433,A
WBGene00143066,A,WBGene00032676,A,WBGene00070397,A
WBGene00143069,ambiguous,WBGene00034045,A,WBGene00063054,A
WBGene00143071,A,WBGene00041769,A,WBGene00052452,A
WBGene00143074,A,WBGene00037398,A,WBGene00062140,A
WBGene00143078,A,WBGene00025581,A,WBGene00080244,A
WBGene00143084,A,WBGene00031383,A,WBGene00054862,A
WBGene00143088,A,WBGene00033419,A,WBGene00060063,A
WBGene00143097,A,WBGene00028116,A,WBGene00067102,A
WBGene00143101,A,WBGene00033911,A,WBGene00054282,A
WBGene00143107,A,WBGene00033378,A,WBGene00059944,A
WBGene00143109,A,WBGene00037807,A,WBGene00055773,A
WBGene00143125,A,WBGene00033445,A,WBGene00060098,A
WBGene00143129,A,WBGene00033945,A,WBGene00054314,A
WBGene00143134,X,WBGene00027163,X,WBGene00058433,X
WBGene00143141,A,WBGene00026433,A,WBGene00061576,A
WBGene00143142,X,WBGene00036040,X,WBGene00070115,X
WBGene00143144,A,WBGene00037527,A,WBGene00061744,A
WBGene00143149,A,WBGene00034329,A,WBGene00072257,A
WBGene00143150,A,WBGene00024806,A,WBGene00059464,A
WBGene00143154,A,WBGene00030887,A,WBGene00058837,A
WBGene00143161,A,WBGene00029323,A,WBGene00064649,A
WBGene00143162,A,WBGene00026206,A,WBGene00085072,A
WBGene00143168,A,WBGene00041617,A,WBGene00064774,A
WBGene00143178,X,WBGene00036930,X,WBGene00058470,X
WBGene00143179,A,WBGene00027437,A,WBGene00063681,A
WBGene00143180,A,WBGene00028721,A,WBGene00062158,A
WBGene00143184,A,WBGene00038906,A,WBGene00060882,A
WBGene00143185,A,WBGene00025963,A,WBGene00053456,A
WBGene00143188,A,WBGene00041085,A,WBGene00070731,A
WBGene00143190,A,WBGene00025919,A,WBGene00053508,A
WBGene00143197,A,WBGene00030788,A,WBGene00066752,A
WBGene00143206,A,WBGene00040848,A,WBGene00060451,A
WBGene00143212,X,WBGene00034984,X,WBGene00051799,X
WBGene00143214,X,WBGene00041233,X,WBGene00065471,X
WBGene00143216,A,WBGene00034570,A,WBGene00070860,A
WBGene00143224,X,WBGene00025163,X,WBGene00058228,X
WBGene00143229,A,WBGene00031137,A,WBGene00059116,A
WBGene00143233,A,WBGene00034002,A,WBGene00063092,A
WBGene00143238,X,WBGene00027146,X,WBGene00058452,X
WBGene00143241,X,WBGene00036689,X,WBGene00051222,X
WBGene00143243,A,WBGene00031098,A,WBGene00059063,A
WBGene00143247,X,WBGene00027583,X,WBGene00051538,X
WBGene00143249,X,WBGene00023665,X,WBGene00051067,X
WBGene00143250,A,WBGene00038162,A,WBGene00056072,A
WBGene00143252,X,WBGene00032124,X,WBGene00051457,X
WBGene00143266,X,WBGene00029503,X,WBGene00082136,X
WBGene00143269,A,WBGene00040540,A,WBGene00057872,A
WBGene00143270,A,WBGene00086772,A,WBGene00085571,A
WBGene00143272,A,WBGene00023958,A,WBGene00072435,A
WBGene00143274,A,WBGene00037080,A,WBGene00055435,A
WBGene00143289,X,WBGene00029362,X,WBGene00066175,X
WBGene00143290,A,WBGene00037482,A,WBGene00061703,A
WBGene00143294,X,WBGene00036265,X,WBGene00081885,X
WBGene00143299,X,WBGene00029405,X,WBGene00066966,X
WBGene00143301,X,WBGene00023667,X,WBGene00051065,X
WBGene00143309,A,WBGene00039385,A,WBGene00056037,A
WBGene00143325,A,WBGene00000312,A,WBGene00055241,A
WBGene00143331,X,WBGene00025119,X,WBGene00063160,X
WBGene00143333,A,WBGene00026894,A,WBGene00057081,A
WBGene00143339,A,WBGene00029061,A,WBGene00055237,A
WBGene00143340,X,WBGene00035703,X,WBGene00065552,X
WBGene00143341,A,WBGene00040049,A,WBGene00070641,A
WBGene00143344,X,WBGene00036331,X,WBGene00063248,X
WBGene00143347,X,WBGene00034906,X,WBGene00051857,X
WBGene00143352,X,WBGene00027603,X,WBGene00051515,X
WBGene00143355,A,WBGene00030895,A,WBGene00058846,A
WBGene00143361,A,WBGene00040544,A,WBGene00057876,A
WBGene00143366,X,WBGene00036629,X,WBGene00051261,X
WBGene00143368,X,WBGene00035130,X,WBGene00051643,X
WBGene00143375,A,WBGene00034127,A,WBGene00077930,A
WBGene00143378,A,WBGene00030815,A,WBGene00077354,A
WBGene00143386,A,WBGene00038952,A,WBGene00060843,A
WBGene00143389,A,WBGene00032574,A,WBGene00052901,A
WBGene00143427,A,WBGene00039998,A,WBGene00055380,A
WBGene00143435,ambiguous,WBGene00038343,A,WBGene00052277,A
WBGene00143443,A,WBGene00030199,A,WBGene00064561,A
WBGene00143445,A,WBGene00042838,no.read,WBGene00057488,A
WBGene00143450,A,WBGene00027971,A,WBGene00063549,A
